Distance,Time,Date,RaceName
200 m,0:00:32,06-05-2025,Training
400 m,0:00:13:90,20-10-2025,Training
5 km,0:19:35,31-10-2025,Paced Training by Nats
10 km,0:45:05,09-09-2025,Warzaw Half Marathon
21 km,1:37:44,09-09-2025,Warzaw Half Marathon
